train_number,train_name,source_station_code,destination_station_code
11472,Jabalpur-Indore Express,JBP,INDB
12003,Lucknow-Newdelhi Swarn Shatabdi Express,LKO,NDLS
12020,Ranchi-Howrah Shatabdi Express,RNC,HWH
12021,Barbil Janshatabdi,HWH,BBN
12022,Barbil Howrah Janshatabdi,BBN,HWH
12189,Jabalpur - Delhi H Nizamuddin Mahakoshal Sf Exp,JBP,NZM
53030,Bhagalpur Azimganj Passenger,BGP,AZ
56385,Ernakulam Kottayam Passenger,ERS,KTYM
11465,Somnath - Jabalpur Exp (Via Bina),SMNH,JBP
11466,Jabalpur - Somnath Exp (Via Bina),JBP,SMNH
11702,Indore - Jabalpur Intercity Exp,INDB,JBP
12002,New Delhi-Bhopal Shatabdi Express,NDLS,BPL
12004,Newdelh-Lucknowi Swarn Shatabdi Express,NDLS,LKO
12005,New Delhi-Kalka Shatabdi,NDLS,KLK
12006,Kalka-New Delhi Shatabdi,KLK,NDLS
12008,Mysore - Chennai Cent Shatabdi Express,MYS,MAS
12009,Mumbai-Ahmedabad Shatabdi Express,BCT,ADI
12010,Ahmedabad-Mumbai Central Shatabdi,ADI,BCT
12011,Kalka Shatabdi Express,NDLS,KLK
12012,Kalka-New Delhi Shatabdi,KLK,NDLS
12013,New Delhi-Amritsar Shatabdi Express,NDLS,ASR
12014,Amritsar-Newdelhi Shatabdi,ASR,NDLS
12015,New Delhi-Ajmer Shatabdi,NDLS,AII
12016,Ajmer-New Delhi Shatabdi,AII,NDLS
12017,New Delhi-Dehradun Shatabdi,NDLS,DDN
12018,Dehradun-New Delhi Shatabdi,DDN,NDLS
12023,Howrah-Patna Jan Shatabdi,HWH,PNBE
12024,Patna-Howrah Jan Shatabdi,PNBE,HWH
12025,Pune-Secunderabad Shatabdi Express,PUNE,SC
12026,Secunderabad-Pune Shatabdi,SC,PUNE
12028,Bangalore City - Chennai Cent Shatabdi Exp,SBC,MAS
12029,New Delhi-Amritsar Swarna Shatabdi Express,NDLS,ASR
12031,Amritsar Shatabdi Express,NDLS,ASR
12032,Amritsar Shatabdi Express,ASR,NDLS
12033,Kanpur Shatabdi,CNB,NDLS
12034,New Delhi-Kanpur Shatabdi Express,NDLS,CNB
12037,New Delhi-Ludhiana Shatabdi Express,NDLS,LDH
12038,Ludhiana-New Delhi Shatabdi Express,LDH,NDLS
12051,Dadar - Madgaon Jan Shatabdi Exp,DR,MAO
12052,Madgaon - Dadar Jan Shatabdi Exp,MAO,DR
12053,Haridwar Amritsar Jan Shatabdi Express,HW,ASR
12054,Amritsar Haridwar Jan Shatabdi,ASR,HW
12055,Dehradun Jan Shatabdi Express,NDLS,DDN
12059,Kota-Hazrat Nizamuddin Jan Shatabdi,KOTA,NZM
12060,Hazarat Nizamuddin-Kota Jan Shatabdi,NZM,KOTA
12063,Haridwar Chandigarh Una Link Jan Shatabdi Express,HW,UHL
12064,Una Chandigarh Haridwar Link Jan Shatabdi,UHL,HW
12067,Guwahati Jorhat Jan Shatabdi,GHY,JTTN
12083,Mayiladuturai-Coimbatore Jan Shatabdi,MV,CBE
12107,Mumbai Ltt Lucknow Superfast Express,LTT,LJN
12108,Lucknow Mumbai Ltt Superfast Express,LJN,LTT
12110,Panchavati Express,MMR,CSTM
12118,Manmad-Mumbai Ltt Express,MMR,LTT
56389,Ernakulam Kottayam Passenger,ERS,KTYM
12056,Dehradun Jan Shatabdi Express,DDN,NDLS
12057,New Delhi-Una Janshatabdi,NDLS,UHL
12058,Una-New Delhi Janshatabdi,UHL,NDLS
12061,Habibganj Bhopal-Jabalpur Jan Shatabdi,HBJ,JBP
12062,Jabalpur-Habibganj Bhopal Jan Shatabdi,JBP,HBJ
12068,Jorhat Guwahati Jan Shatabdi,JTTN,GHY
12069,Raigarh-Gondia Jan Shatabdi,RIG,G
12070,Gondia-Raigarh Jan Shatabdi,G,RIG
12072,Aurangabad Mumbai Jan Shatabdi,AWB,CSTM
12074,Bhubaneswar-Howrah Jan Shatabdi Express,BBS,HWH
12075,Kozhikode-Trivandrum Jan Shatabdi Express,CLT,TVC
12076,Trivandrum-Kozhikode Jan Shatabdi Express,TVC,CLT
12078,Vijayawada Chennai Jan Shatabdi,BZA,MAS
12079,Bangalore City-Hubli Jan Shatabdi,SBC,UBL
12080,Hubli Bangalore Janshatabdi,UBL,SBC
12081,Kozhikode - Trivandrum Jan Shatabdi,CLT,TVC
12082,Trivandrum-Kozhikode Jan Shatabdi,TVC,CLT
12101,Mumbai Ltt - Howrah Janeswari Super Deluxe Exp,LTT,HWH
12102,Howrah - Mumbai Ltt Janeswari Super Deluxe Exp,HWH,LTT
12103,Pune Lucknow Jn Superfast Express,PUNE,LJN
12104,Lucknow Jn - Pune Express,LJN,PUNE
12105,Vidarbha Express,CSTM,G
12106,Vidarbha Express,G,CSTM
12109,Panchavati Express,CSTM,MMR
12111,Mumbai Cst-Amaravati Sf Express,CSTM,AMI
12112,Amaravati-Mumbai Cst Express,AMI,CSTM
12113,Pune-Nagpur Garib Rath Express,PUNE,NGP
12114,Nagpur-Pune Garib Rath,NGP,PUNE
12115,Siddheshwar Express,CSTM,SUR
12116,Siddheshwar Express,SUR,CSTM
12117,Mumbai Ltt- Manmad Express,LTT,MMR
12119,Amaravati Nagpur Express,AMI,NGP
12120,Nagpur Amravati Express,NGP,AMI
12122,Delhi H Nizamuddin - Jabalpur S Kranti Exp,NZM,JBP
12135,Pune -Nagpur Superfast Express,PUNE,NGP
12136,Nagpur Pune Express,NGP,PUNE
12137,Punjab Mail,CSTM,FZR
12138,Punjab Mail,FZR,CSTM
12139,Sevagram Express,CSTM,NGP
12139-Slip,Sewagram Express Slip,CSTM,NGP
12140,Sevagram Express,NGP,CSTM
